time,desired_angle,current_angle,velocity,error
10.030059576034546,2.55,2.55,0.0,0.0
10.067059993743896,2.55,2.55,0.23,-0.0
10.103428840637207,2.55,2.55,-0.472,0.0
10.140926361083984,2.55,2.55,0.24,-0.0
10.173925638198853,2.55,2.551,0.231,-0.001
10.210931777954102,2.55,2.55,0.46,-0.0
10.247458696365356,2.55,2.549,-0.23,0.001
10.284452199935913,2.55,2.549,-0.692,0.001
10.320375204086304,2.55,2.549,0.68,0.001
10.357866764068604,2.55,2.549,0.23,0.001
10.390620946884155,2.55,2.55,-0.461,0.0
10.427666187286377,2.55,2.55,-0.232,-0.0
10.464673280715942,2.55,2.551,-0.232,-0.001
10.501076459884644,2.55,2.551,0.462,-0.001
10.537766695022583,2.55,2.549,0.0,0.001
10.574759244918823,2.55,2.549,-0.445,0.001
10.60775876045227,2.55,2.549,-0.691,0.001
10.644264221191406,2.55,2.549,-0.465,0.001
10.681207180023193,2.55,2.55,0.0,-0.0
10.717819929122925,2.55,2.55,0.237,-0.0
10.755317211151123,2.55,2.549,-0.465,0.001
10.79190182685852,2.55,2.55,0.237,-0.0
10.828807592391968,2.55,2.551,0.224,-0.001
10.861854791641235,2.55,2.55,0.225,-0.0
10.89827275276184,2.55,2.549,-0.247,0.001
10.935672521591187,2.55,2.55,0.691,-0.0
10.972011804580688,2.55,2.549,-0.674,0.001
11.008642435073853,2.55,2.551,0.0,-0.001
11.045676708221436,2.55,2.55,-0.91,0.0
11.082897901535034,2.55,2.55,-0.22,-0.0
11.11981201171875,2.55,2.551,0.872,-0.001
11.152446746826172,2.55,2.55,-0.218,0.0
11.189485788345337,2.55,2.551,0.226,-0.001
11.225986957550049,2.55,2.551,0.232,-0.001
11.262415409088135,2.55,2.549,0.0,0.001
11.299606323242188,2.55,2.55,0.23,0.0
11.336853265762329,2.55,2.549,-0.673,0.001
11.369866371154785,2.55,2.551,0.461,-0.001
11.40656566619873,2.55,2.55,0.0,-0.0
11.442895412445068,2.55,2.55,0.0,-0.0
11.47971248626709,2.55,2.55,-0.691,0.0
11.516633749008179,2.55,2.549,-0.68,0.001
11.553159713745117,2.55,2.549,-0.692,0.001
11.59101128578186,2.55,2.549,0.232,0.001
11.62402629852295,2.55,2.55,0.0,0.0
11.660545349121094,2.55,2.551,0.455,-0.001
11.696850299835205,2.55,2.55,-0.698,0.0
11.734304666519165,2.55,2.55,-0.233,-0.0
11.771074533462524,2.55,2.55,0.245,0.0
11.80708646774292,2.55,2.55,0.23,-0.0
11.84451675415039,2.55,2.551,0.218,-0.001
11.878013849258423,2.55,2.551,0.224,-0.001
11.913972616195679,2.55,2.55,-0.452,0.0
11.950958490371704,2.55,2.551,0.0,-0.001
11.988041877746582,2.55,2.551,0.23,-0.001
12.02483606338501,2.55,2.551,0.699,-0.001
12.0609450340271,2.55,2.55,-0.465,0.0
12.094938516616821,2.55,2.549,-0.237,0.001
12.131408214569092,2.55,2.55,-0.23,-0.0
12.168095588684082,2.42,2.533,-2.388,-0.113
12.204729557037354,2.29,2.461,0.45,-0.171
12.241775512695312,2.29,2.365,-2.591,-0.075
12.27869200706482,2.07,2.276,-4.355,-0.206
12.31511664390564,1.95,2.15,-4.613,-0.2
12.352218627929688,1.67,1.996,-3.665,-0.326
12.38891053199768,1.52,1.827,-5.734,-0.307
12.426416158676147,1.35,1.612,-5.515,-0.262
12.46330213546753,1.04,1.39,-4.98,-0.35
12.499606370925903,0.89,1.173,-6.977,-0.283
12.536427974700928,0.6,0.957,-5.07,-0.357
12.573554277420044,0.46,0.752,-6.994,-0.292
12.610685586929321,0.16,0.541,-6.69,-0.381
12.646700382232666,0.0,0.336,-6.576,-0.336
12.683710813522339,-0.13,0.105,-4.984,-0.235
12.721245288848877,-0.41,-0.089,-5.992,-0.321
12.757147073745728,-0.56,-0.285,-5.217,-0.275
12.795004606246948,-0.89,-0.5,-6.463,-0.39
12.831411600112915,-1.04,-0.721,-5.714,-0.319
12.868554830551147,-1.22,-0.945,-7.119,-0.275
12.90523910522461,-1.58,-1.186,-6.155,-0.394
12.941958665847778,-1.75,-1.43,-5.981,-0.32
12.979348182678223,-2.04,-1.665,-5.379,-0.375
13.015688180923462,-2.16,-1.876,-6.666,-0.284
13.053149461746216,-2.5,-2.08,-6.167,-0.42
13.089533567428589,-2.67,-2.303,-6.449,-0.367
13.126957654953003,-2.84,-2.553,-6.461,-0.287
13.163837194442749,-3.12,-2.817,-8.076,-0.303
13.200743675231934,-3.45,-3.048,-5.626,-0.402
13.237257719039917,-3.59,-3.29,-5.521,-0.3
13.274250745773315,-3.88,-3.474,-12.748,-0.406
13.311257123947144,-4.04,-3.722,-4.654,-0.318
13.351980447769165,-4.18,-3.949,-5.988,-0.231
13.388296365737915,-4.51,-4.159,-6.684,-0.351
13.425008535385132,-4.67,-4.387,-5.346,-0.283
13.462368965148926,-5.05,-4.633,-8.603,-0.417
13.49961233139038,-5.38,-4.918,-6.516,-0.462
13.535869836807251,-5.61,-5.194,-7.24,-0.416
13.573682069778442,-5.95,-5.513,-8.203,-0.437
13.610492706298828,-6.23,-5.787,-7.905,-0.443
13.647011995315552,-6.33,-6.039,-8.358,-0.291
13.684006452560425,-6.66,-6.267,-5.821,-0.393
13.721093893051147,-6.83,-6.518,-6.749,-0.312
13.75763988494873,-7.15,-6.758,-4.992,-0.392
13.794103384017944,-7.31,-6.981,-9.565,-0.329
13.835306882858276,-7.65,-7.219,-6.687,-0.271
13.871783971786499,-7.79,-7.444,-5.989,-0.346
13.909030437469482,-7.93,-7.662,-5.528,-0.268
13.945557117462158,-8.22,-7.867,-4.88,-0.353
13.982276916503906,-8.51,-8.059,-6.234,-0.451
14.019706964492798,-8.75,-8.348,-7.11,-0.402
14.056936979293823,-9.09,-8.644,-7.497,-0.446
14.093444585800171,-9.37,-8.918,-6.824,-0.282
14.130316972732544,-9.54,-9.146,-6.74,-0.394
14.167171001434326,-9.7,-9.403,-5.558,-0.297
14.203648090362549,-9.98,-9.615,-2.317,-0.365
14.241153478622437,-10.11,-9.822,-10.938,-0.288
14.281479358673096,-10.37,-10.027,-5.482,-0.213
14.318689584732056,-10.5,-10.214,-4.151,-0.286
14.35522985458374,-10.64,-10.408,-4.837,-0.232
14.392057418823242,-10.94,-10.603,-4.94,-0.337
14.428452491760254,-11.11,-10.8,-6.335,-0.31
14.46627688407898,-11.38,-11.037,-7.106,-0.343
14.50317096710205,-11.54,-11.269,-6.047,-0.271
14.540099382400513,-11.89,-11.501,-6.219,-0.389
14.5770263671875,-12.04,-11.734,-5.531,-0.306
14.613421440124512,-12.3,-11.946,-5.174,-0.354
14.649923324584961,-12.41,-12.138,-6.492,-0.272
14.691251039505005,-12.52,-12.311,-3.714,-0.209
14.728271245956421,-12.62,-12.475,-3.457,-0.145
14.765039205551147,-12.72,-12.543,-2.555,-0.177
14.80186939239502,-12.72,-12.654,-0.461,-0.066
14.837951183319092,-12.72,-12.676,-0.936,-0.044
14.87208342552185,-12.72,-12.691,0.468,-0.029
14.911700963973999,-12.59,-12.655,1.153,0.065
14.948952913284302,-12.49,-12.587,2.532,0.097
14.98557734489441,-12.36,-12.485,4.837,0.125
15.022603273391724,-12.25,-12.371,2.537,0.121
15.059467554092407,-12.03,-12.278,3.555,0.248
15.09653115272522,-11.9,-12.138,3.25,0.108
15.133533716201782,-11.9,-12.036,2.959,0.136
15.170599699020386,-11.62,-11.888,4.506,0.268
15.207706928253174,-11.48,-11.715,4.881,0.235
15.244433641433716,-11.21,-11.522,4.863,0.312
15.281284093856812,-11.08,-11.348,6.039,0.268
15.31794023513794,-10.94,-11.183,3.258,0.243
15.354308366775513,-10.83,-11.013,5.141,0.183
15.391320705413818,-10.71,-10.887,3.904,0.177
15.428934335708618,-10.59,-10.762,3.404,0.172
15.465060234069824,-10.44,-10.657,1.152,0.217
15.501716136932373,-10.33,-10.524,4.368,0.194
15.539258241653442,-10.08,-10.366,5.64,0.286
15.57625436782837,-9.95,-10.214,4.148,0.264
15.61636996269226,-9.81,-10.02,4.837,0.21
15.653243780136108,-9.51,-9.829,5.818,0.319
15.690335035324097,-9.37,-9.648,2.766,0.278
15.727410316467285,-9.08,-9.423,8.223,0.343
15.76373815536499,-8.93,-9.201,6.01,0.271
15.80064606666565,-8.67,-8.996,7.503,0.326
15.837868213653564,-8.54,-8.821,4.977,0.281
15.87475323677063,-8.4,-8.644,1.895,0.244
15.910786151885986,-8.29,-8.488,6.223,0.198
15.948104858398438,-8.16,-8.346,3.226,0.186
15.98553729057312,-7.93,-8.188,4.84,0.258
16.022143840789795,-7.81,-8.03,4.557,0.22
16.05967092514038,-7.54,-7.853,7.09,0.313
16.095678091049194,-7.37,-7.683,4.774,0.313
16.133359909057617,-7.2,-7.453,6.08,0.253
16.16933512687683,-6.87,-7.234,6.384,0.364
16.20632576942444,-6.72,-6.997,6.914,0.277
16.24384880065918,-6.38,-6.769,6.163,0.389
16.28036904335022,-6.23,-6.539,5.001,0.309
16.317291021347046,-5.94,-6.311,6.98,0.371
16.353809595108032,-5.79,-6.117,6.427,0.327
16.39092254638672,-5.64,-5.898,6.724,0.258
16.42752432823181,-5.33,-5.692,4.926,0.362
